start,end,speaker_id
2506.33,2507.83,Speaker_299
2507.83,2509.33,Speaker_141
2517.58,2520.29,Speaker_212
2520.29,2523.2475,Speaker_12
2527.5,2529.0,Speaker_480
2529.0,2539.5,Speaker_552
2539.5,2540.25,Speaker_301
2540.25,2541.75,Speaker_328
2541.75,2542.5,Speaker_280
2542.5,2544.0,Speaker_392
2544.0,2544.75,Speaker_791
2544.75,2546.25,Speaker_144
2546.25,2549.005,Speaker_395
2549.005,2550.13,Speaker_97
2550.26,2551.76,Speaker_202
2551.76,2553.26,Speaker_226
2553.26,2554.01,Speaker_93
2554.01,2568.75,Speaker_534
2568.75,2569.5,Speaker_479
2569.5,2570.25,Speaker_239
2570.25,2571.0,Speaker_201
2571.0,2577.02,Speaker_568
2577.02,2604.84,Speaker_111
2604.84,2606.25,Speaker_286
2606.25,2607.0,Speaker_78
2607.0,2610.75,Speaker_150
2610.75,2611.5,Speaker_350
2611.5,2615.25,Speaker_287
2615.25,2618.25,Speaker_489
2618.25,2619.0,Speaker_249
2619.0,2620.5,Speaker_367
2620.5,2621.25,Speaker_106
2621.25,2621.64,Speaker_393
2622.16,2626.66,Speaker_242
2626.66,2628.16,Speaker_185
2628.16,2629.66,Speaker_104
2629.66,2633.0550000000003,Speaker_203
2633.0550000000003,2634.27,Speaker_227
2634.27,2635.02,Speaker_52
2643.27,2644.02,Speaker_276
2644.02,2644.77,Speaker_73
2644.77,2648.52,Speaker_474
2648.52,2648.7,Speaker_382
2649.91,2652.18,Speaker_225
2652.75,2654.25,Speaker_335
2654.25,2655.75,Speaker_318
2655.75,2656.5,Speaker_231
2656.5,2657.25,Speaker_136
2657.25,2658.07,Speaker_260
2658.82,2660.16,Speaker_92
2660.16,2661.0,Speaker_16
2661.52,2662.61,Speaker_235
2664.36,2667.81,Speaker_196
2669.84,2672.09,Speaker_383
2672.09,2673.59,Speaker_304
2673.59,2675.09,Speaker_176
2675.09,2675.84,Speaker_134
2675.84,2679.59,Speaker_396
2679.59,2681.84,Speaker_359
2681.84,2684.84,Speaker_137
2684.84,2688.295,Speaker_183
2688.295,2689.795,Speaker_40
2689.795,2692.045,Speaker_206
2694.0,2696.25,Speaker_250
2696.25,2698.5,Speaker_191
2698.5,2699.25,Speaker_267
2699.25,2701.5,Speaker_645
2701.5,2704.5,Speaker_204
2704.5,2705.25,Speaker_188
2705.25,2708.89,Speaker_179
2709.99,2712.76,Speaker_240
2713.4,2714.08,Speaker_233
2714.78,2716.88,Speaker_149
2716.88,2719.0,Speaker_170
2719.0,2719.08,Speaker_138
2719.69,2721.94,Speaker_88
2721.94,2731.3,Speaker_130
2731.3,2732.05,Speaker_284
2732.05,2732.8,Speaker_285
2744.775,2745.5,Speaker_230
2745.5,2745.64,Speaker_21
2746.45,2753.2,Speaker_456
2753.2,2754.7,Speaker_152
2754.7,2765.95,Speaker_64
2765.95,2766.7,Speaker_159
2766.7,2772.365,Speaker_182
2772.365,2774.28,Speaker_17
2774.28,2775.03,Speaker_153
2775.03,2779.53,Speaker_81
2779.53,2780.28,Speaker_124
2780.28,2784.78,Speaker_3
2784.78,2785.53,Speaker_219
2785.53,2787.78,Speaker_101
2787.78,2789.28,Speaker_115
2789.28,2790.78,Speaker_95
2790.78,2792.28,Speaker_160
2792.28,2793.03,Speaker_76
2793.03,2796.78,Speaker_75
2796.78,2798.28,Speaker_322
2798.28,2801.0150000000003,Speaker_123
2801.0150000000003,2802.5150000000003,Speaker_143
